Report_Data_Extracted,LTC_Homes_with_Active_Outbreak,LTC_Homes_with_Resolved_Outbreak,Confirmed_Active_LTC_Resident_Cases,Confirmed_Active_LTC_HCW_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Deaths,Active_Outbreaks_with_No_Resident_Cases
2022-06-20,52,535,267,87,4466,13,8
2022-06-21,51,536,270,80,4467,13,9
2022-06-22,51,538,282,86,4469,13,10
2022-06-23,48,540,286,85,4469,13,7
2022-06-24,47,540,266,82,4469,13,6
2022-06-25,48,538,281,83,4469,13,7
2022-06-26,48,538,283,82,4469,13,7
2022-06-27,47,539,268,81,4470,13,7
2022-06-28,47,539,257,74,4470,13,7
2022-06-29,44,542,303,99,4474,13,5
2022-06-30,47,539,366,138,4475,13,7
2022-07-01,52,534,406,145,4475,13,9
2022-07-02,52,534,406,145,4475,13,9
2022-07-03,52,534,406,145,4475,13,9
2022-07-04,53,533,393,134,4478,13,11
2022-07-05,57,529,415,155,4480,13,13
2022-07-06,63,523,382,155,4486,13,13
2022-07-07,65,522,422,163,4486,13,12
2022-07-08,67,520,501,193,4487,13,11
2022-07-09,68,519,504,203,4488,13,11
2022-07-10,68,519,504,203,4488,13,11
2022-07-11,75,512,549,226,4493,13,12
2022-07-12,85,503,608,304,4496,13,16
2022-07-13,99,490,709,330,4499,13,15
2022-07-14,101,488,757,383,4502,13,17
2022-07-15,118,472,820,438,4503,22,18
2022-07-16,133,458,948,472,4505,13,18
2022-07-17,133,458,948,472,4505,13,18
2022-07-18,136,455,1017,530,4505,13,18
2022-07-19,143,449,1193,572,4515,13,17
2022-07-20,151,442,1289,641,4518,13,18
2022-07-21,159,434,1408,674,4519,13,21
2022-07-22,162,432,1642,768,4528,13,21
2022-07-23,176,419,1809,782,4528,13,21
2022-07-24,176,419,1809,782,4528,13,21
2022-07-25,174,421,1901,802,4533,13,19
2022-07-26,180,416,2043,870,4540,13,15
2022-07-27,185,412,2104,872,4548,13,15
2022-07-28,185,413,2044,851,4552,13,14
2022-07-29,184,414,1948,843,4555,13,17
2022-07-30,183,415,1917,865,4558,13,16
2022-07-31,183,415,1933,865,4558,13,16
2022-08-01,183,415,1933,865,4558,13,16
2022-08-02,186,413,1930,866,4562,13,16
2022-08-03,191,408,1866,837,4575,13,16
2022-08-04,194,405,1722,790,4586,13,18
2022-08-05,194,406,1567,798,4593,13,18
2022-08-06,195,405,1581,786,4595,13,19
2022-08-07,195,405,1581,786,4595,13,19
2022-08-08,191,409,1541,778,4598,13,19
2022-08-09,186,414,1454,690,4608,13,18
2022-08-10,191,410,1459,689,4609,13,22
2022-08-11,195,406,1475,719,4620,13,20
2022-08-12,189,413,1531,731,4624,13,15
2022-08-13,185,417,1572,757,4626,13,15
2022-08-14,185,417,1572,757,4626,13,15
2022-08-15,174,428,1511,752,4629,13,15
2022-08-16,175,428,1511,726,4634,13,15
2022-08-17,167,436,1537,748,4642,13,17
2022-08-18,161,442,1517,733,4644,13,19
2022-08-19,156,447,1463,692,4649,13,17
2022-08-20,152,451,1388,660,4651,13,15
2022-08-21,152,451,1388,660,4651,13,15
2022-08-22,150,453,1375,618,4655,13,13
2022-08-23,155,450,1494,609,4661,13,14
2022-08-24,146,459,1557,593,4671,13,12
2022-08-25,147,459,1628,587,4680,13,11
2022-08-26,162,444,1679,633,4686,13,11
2022-08-27,158,448,1786,639,4687,13,9
2022-08-28,158,448,1786,639,4687,13,9
2022-08-29,155,451,1711,619,4690,13,8
2022-08-30,156,451,1674,652,4699,13,8
2022-08-31,156,452,1711,667,4709,13,8
2022-09-01,161,447,1694,693,4710,13,10
2022-09-02,152,456,1699,605,4712,13,9
2022-09-06,151,457,1765,629,4723,13,10
2022-09-07,147,461,1719,612,4734,13,9
2022-09-08,134,474,1410,523,4747,13,7
2022-09-09,131,477,1251,457,4757,13,6
2022-09-10,131,477,1223,443,4757,13,6
2022-09-11,131,477,1223,443,4757,13,6
2022-09-12,134,475,1244,442,4758,13,6
2022-09-13,139,471,1186,432,4763,13,11
2022-09-14,142,469,1177,441,4772,13,12
2022-09-15,140,471,1183,435,4776,13,12
2022-09-16,142,469,1212,458,4777,13,12
2022-09-17,147,464,1216,460,4778,13,16
2022-09-18,148,463,1230,463,4778,13,16
2022-09-19,149,462,1197,457,4779,13,19
2022-09-20,145,468,1165,439,4778,13,19
2022-09-21,153,460,1201,471,4778,13,20
2022-09-22,154,459,1240,493,4779,13,18
2022-09-23,146,467,1241,496,4779,13,14
2022-09-24,146,467,1234,493,4779,13,14
2022-09-25,146,467,1234,493,4779,13,14
2022-09-26,145,468,1120,463,4779,13,14
2022-09-27,144,469,1012,459,4792,13,14
2022-09-28,143,470,1020,478,4805,13,15
2022-09-29,136,477,1080,493,4816,13,13
2022-09-30,137,476,1080,492,4816,13,13
2022-10-05,150,467,1263,536,4836,13,9
2022-10-06,145,472,1336,518,4845,13,12
2022-10-07,157,461,1519,564,4849,13,15
2022-10-08,152,466,1499,514,4859,13,17
2022-10-10,152,466,1503,519,4860,13,17
2022-10-11,150,468,1493,500,4861,13,15
2022-10-12,152,467,1526,480,4872,13,14
2022-10-13,150,469,1471,479,4880,13,8
2022-10-14,151,469,1525,504,4883,13,11
2022-10-17,158,462,1570,495,4886,13,12
2022-10-18,140,480,1499,495,4893,13,9
2022-10-19,137,484,1557,520,4897,13,8
2022-10-20,142,479,1600,556,4903,13,7
2022-10-21,158,463,1784,650,4917,13,7
2022-10-22,161,460,1867,663,4919,13,6
2022-10-23,161,460,1867,663,4919,13,6
2022-10-24,154,468,1785,651,4922,13,5
2022-10-25,151,471,1787,680,4926,13,4
2022-10-26,155,467,1787,677,4932,13,4
2022-10-27,161,461,1737,680,4942,13,5
2022-10-28,159,463,1844,694,4951,13,6
2022-10-29,158,464,1755,695,4955,13,5
2022-10-30,158,464,1755,695,4955,13,5
2022-10-31,153,469,1704,678,4957,13,3
2022-11-01,153,469,1689,665,4960,13,1
2022-11-02,151,471,1563,598,4973,13,2
2022-11-03,145,477,1504,583,4988,13,1
2022-11-04,145,477,1487,564,4998,13,3
2022-11-05,146,476,1458,554,5000,13,4
2022-11-06,146,476,1458,554,5000,13,4
2022-11-07,127,495,1398,519,5000,13,3
2022-11-08,126,496,1353,508,5002,13,6
2022-11-09,129,493,1366,510,5003,13,5
2022-11-10,129,493,1356,534,5010,13,5
2022-11-11,130,492,1350,518,5010,13,6
2022-11-12,130,492,1350,518,5010,13,6
2022-11-13,128,494,1306,512,5010,13,6
2022-11-14,121,501,1281,500,5012,13,4
2022-11-15,122,500,1241,477,5019,13,2
2022-11-16,128,494,1209,459,5025,13,3
2022-11-17,130,492,1201,447,5029,13,3
2022-11-18,131,491,1162,431,5030,13,4
2022-11-19,129,493,1161,430,5032,13,4
2022-11-20,129,493,1161,430,5032,13,4
2022-11-21,109,513,1103,379,5035,13,2
2022-11-22,109,513,1135,382,5045,13,2
2022-11-23,106,516,1108,361,5047,13,4
2022-11-25,108,514,1109,359,5049,13,5
2022-11-26,105,517,1112,357,5050,13,4
2022-11-27,105,517,1112,355,5050,13,4
2022-11-28,90,532,1021,332,5054,13,4
2022-11-29,89,533,909,293,5066,13,3
2022-11-30,90,532,909,291,5067,13,3
2022-12-01,89,533,889,272,5068,13,3
2022-12-02,70,552,727,229,5068,13,2
2022-12-03,70,552,673,216,5068,13,2
2022-12-04,70,552,673,216,5068,13,2
2022-12-05,74,548,729,229,5070,13,1
2022-12-06,76,547,586,210,5073,13,1
2022-12-07,78,545,636,228,5075,13,1
2022-12-08,80,543,639,230,5080,13,2
2022-12-09,73,550,558,201,5081,13,1
2022-12-10,76,547,579,207,5082,13,1
2022-12-11,76,547,579,207,5082,13,1
2022-12-12,81,542,553,201,5082,13,3
2022-12-13,83,540,601,244,5080,13,3
2022-12-14,84,539,668,240,5087,13,2
2022-12-15,86,537,753,289,5090,13,4
2022-12-16,86,537,752,306,5095,13,4
2022-12-17,87,536,794,328,5095,13,5
2022-12-18,88,535,793,327,5095,13,4
2022-12-19,89,534,819,357,5101,13,5
2022-12-20,82,541,853,388,5106,13,3
2022-12-21,90,533,935,414,5110,13,3
2022-12-22,98,525,1001,437,5117,13,2
2022-12-23,100,523,958,435,5119,13,1
2022-12-24,102,521,963,448,5119,13,1
2022-12-25,102,521,958,448,5119,13,1
2022-12-26,102,521,961,459,5121,13,1
2022-12-27,100,523,921,437,5125,13,2
2022-12-28,98,525,955,438,5132,13,2
2022-12-29,100,523,985,459,5133,13,3
2022-12-30,104,519,1030,434,5135,13,5
2022-12-31,105,518,1023,425,5135,13,6
2023-01-01,105,518,1022,422,5137,13,7
2023-01-02,106,517,1012,421,5138,13,8
2023-01-03,111,512,923,419,5140,13,4
2023-01-04,114,509,960,464,5156,13,8
2023-01-05,105,518,1037,438,5164,13,5
2023-01-06,109,514,1075,460,5172,13,5
2023-01-07,111,512,1159,491,5172,13,6
2023-01-08,105,518,1148,476,5172,13,3
2023-01-09,105,518,1006,411,5188,13,5
2023-01-10,103,520,980,509,5192,13,10
2023-01-11,107,516,1052,469,5196,13,9
2023-01-12,112,511,1108,477,5202,13,8
2023-01-13,115,508,1077,473,5208,13,6
2023-01-14,109,514,1076,462,5208,13,3
2023-01-15,109,514,1089,456,5207,13,3
2023-01-16,108,515,1032,429,5213,13,8
2023-01-17,106,517,994,415,5217,13,8
2023-01-18,98,525,1009,391,5227,13,5
2023-01-19,94,529,983,396,5229,13,5
2023-01-20,83,540,940,402,5235,13,
2023-01-21,84,539,959,400,5235,13,
2023-01-22,84,539,956,404,5236,13,
2023-01-23,84,539,875,365,5242,13,2
2023-01-24,81,542,868,360,5246,13,4
2023-01-25,71,552,814,315,5251,13,2
2023-01-26,69,554,718,294,5254,13,1
2023-01-27,62,561,577,254,5255,13,2
2023-01-28,64,559,593,259,5255,13,2
2023-01-29,65,558,598,261,5256,13,2
2023-01-30,65,558,573,261,5267,13,1
2023-01-31,72,551,597,257,5270,13,2
2023-02-01,68,555,565,243,5271,13,
2023-02-02,67,556,559,243,5274,13,
2023-02-03,65,558,536,187,5275,13,1
2023-02-04,67,556,615,219,5276,13,2
2023-02-05,66,557,593,219,5276,13,2
2023-02-06,62,561,600,229,5278,13,2
2023-02-07,61,563,544,209,5280,13,2
2023-02-08,58,566,620,234,5282,13,1
2023-02-09,60,564,631,255,5282,13,3
2023-02-10,59,565,626,237,5287,13,2
2023-02-11,58,566,617,225,5287,13,4
2023-02-12,60,564,622,222,5287,13,4
2023-02-13,58,566,632,232,5291,13,4
2023-02-14,59,565,567,218,5291,13,2
2023-02-15,58,566,532,217,5292,13,3
2023-02-16,60,564,609,242,5295,13,3
2023-02-17,58,566,595,218,5297,13,
2023-02-21,54,570,572,203,5300,13,2
2023-02-22,53,571,581,238,5301,13,
2023-02-23,49,575,542,215,5303,13,
2023-02-24,45,579,545,212,5309,13,
2023-02-27,47,577,500,195,5315,13,
2023-02-28,47,577,498,193,5316,13,
2023-03-01,49,575,434,179,5322,13,
2023-03-02,45,579,418,158,5324,13,
2023-03-03,45,579,402,136,5325,13,
2023-03-06,48,576,365,124,5329,13,2
2023-03-07,51,573,370,120,5329,13,1
2023-03-08,48,576,386,147,5329,13,
2023-03-09,46,578,390,163,5329,13,1
2023-03-10,44,580,395,183,5329,13,1
2023-03-13,48,576,431,161,5330,13,2
2023-03-14,45,579,453,150,5332,13,1
2023-03-15,43,581,480,147,5335,13,1
2023-03-16,46,578,539,178,5341,13,1
2023-03-17,46,578,553,179,5341,13,1
2023-03-20,46,578,470,155,5343,13,1
2023-03-21,46,578,494,144,5347,13,1
2023-03-22,45,579,497,126,5348,13,1
2023-03-23,46,578,502,133,5348,13,1
2023-03-24,41,584,423,116,5349,13,1
2023-03-27,40,585,423,136,5350,13,
2023-03-28,40,585,390,128,5351,13,
2023-03-29,39,586,384,136,5351,13,
2023-03-30,32,593,352,122,5351,13,
